Food,Protein,Cost,Type
Soya Chunks (50g),26,15,Veg
Paneer (100g),18,60,Veg
Boiled Eggs (2 nos),13,14,Non-Veg
Chicken Breast (100g),31,80,Non-Veg
Dal Tadka (1 bowl),8,30,Veg
Peanut Butter (2 tbsp),8,15,Veg
Greek Yogurt,10,50,Veg
Fish Curry,22,100,Non-Veg
Oats with Milk,12,25,Veg
Whey Protein (1 scoop),24,90,Veg
Roasted Chana (100g),19,20,Veg
Sprouted Moong Salad,10,15,Veg
Tofu (100g),12,50,Veg
Double Egg Omelette,13,20,Non-Veg
Chicken Keema (100g),25,70,Non-Veg
Peanuts (Handful),7,10,Veg
Milk (250ml),8,15,Veg
Curd (200g),6,20,Veg
Masala Omelette,14,25,Non-Veg
Soya Bhurji,20,20,Veg
Black Chana Chaat,15,20,Veg
Mixed Sprouts,12,15,Veg
Chicken Sandwich,20,60,Non-Veg
Boiled Egg Sandwich,15,35,Non-Veg
Peanut Butter Toast,10,20,Veg
Almonds (10 nos),3,15,Veg
Chickpea Curry (Chole),9,40,Veg
Mutton Curry (100g),20,150,Non-Veg
Egg Bhurji (3 eggs),20,35,Non-Veg
Besan Chilla (2 nos),10,20,Veg
Lentil Soup (Parippu),9,25,Veg
Poha with Peanuts,7,15,Veg
Quinoa Upma,8,45,Veg